occ_code,task,penetration
17-3022.00,Prepare reports and document project activities and data.,0.9702
11-9199.03,Monitor financial or operational performance of individual investments to ensure portfolios meet risk goals.,0.9699
19-2041.00,Determine data collection methods to be employed in research projects or surveys.,0.9698
13-1161.00,"Conduct research on consumer opinions and marketing strategies, collaborating with marketing professionals, statisticians, pollsters, and other professionals.",0.9697
15-1199.03,"Gather, analyze, or document user feedback to locate or resolve sources of problems.",0.9697
19-4011.01,Respond to general inquiries or requests from the public.,0.9697
19-4091.00,"Record test data and prepare reports, summaries, or charts that interpret test results.",0.9696
25-4021.00,Locate unusual or unique information in response to specific requests.,0.9691
15-1152.00,Configure security settings or access permissions for groups or individuals.,0.969
41-9091.00,Answer questions about product features and benefits.,0.9689
43-9061.00,"Review files, records, and other documents to obtain information to respond to requests.",0.9688
41-3031.03,"Track and analyze factors that affect price movement, such as trade policies, weather conditions, political developments, or supply and demand changes.",0.9688
51-2022.00,"Read and interpret schematic drawings, diagrams, blueprints, specifications, work orders, or reports to determine materials requirements or assembly instructions.",0.9687
43-4011.00,"Document security transactions, such as purchases, sales, conversions, redemptions, or payments, using computers, accounting ledgers, or certificate records.",0.9687
25-4021.00,"Respond to customer complaints, taking action as necessary.",0.9686
37-1011.00,"Screen job applicants, and hire new employees.",0.9682
31-9096.00,"Write reports, maintain research information, or perform clerical duties.",0.9682
13-1199.06,Deliver e-mail confirmation of completed transactions and shipment.,0.9681
41-3031.01,Review all securities transactions to ensure accuracy of information and conformance to governing agency regulations.,0.9681
51-4012.00,"Revise programs or tapes to eliminate errors, and retest programs to check that problems have been solved.",0.9679
43-9061.00,"Process and prepare documents, such as business or government forms and expense reports.",0.9676
29-2011.02,Examine specimens to detect abnormal hormone conditions.,0.9676
25-1021.00,"Compile, administer, and grade examinations or assign this work to others.",0.9669
11-9141.00,"Maintain records of sales, rental or usage activity, special permits issued, maintenance and operating costs, or property availability.",0.9668
43-9111.01,"Extend existing software programs, web-based interactive tools, or database queries as sequence management and analysis needs evolve.",0.9667
47-2132.00,Read blueprints and specifications to determine job requirements.,0.9667
43-3031.00,"Classify, record, and summarize numerical and financial data to compile and keep financial records, using journals and ledgers or computers.",0.9664
41-9021.00,Obtain agreements from property owners to place properties for sale with real estate firms.,0.9663
13-1199.03,"Prepare and process import and export documentation according to customs regulations, laws, or procedures.",0.9659
13-2021.02,Examine income records and operating costs of income properties.,0.9658
41-2021.00,"Provide information about rental items, such as availability, operation, or description.",0.9658
43-9022.00,"Electronically sort and compile text and numerical data, retrieving, updating, and merging documents as required.",0.9658
19-3022.00,"Analyze data from surveys, old records, or case studies, using statistical software.",0.9657
37-2021.00,Record work activities performed.,0.9657
27-3091.00,"Adapt translations to students' cognitive and grade levels, collaborating with educational team members as necessary.",0.9655
11-9199.10,Review or evaluate proposals or bids to make recommendations regarding awarding of contracts.,0.9653
11-3061.00,"Review, evaluate, and approve specifications for issuing and awarding bids.",0.9653
11-9199.01,Investigate product complaints and prepare documentation and submissions to appropriate regulatory agencies as necessary.,0.9648
43-9071.00,"Compute prices for services and receive payment, or provide supervisors with billing information.",0.9647
15-1199.09,Monitor or track project milestones and deliverables.,0.9646
13-1023.00,"Monitor changes affecting supply and demand, tracking market conditions, price trends, or futures markets.",0.9645
43-9111.00,"Compute and analyze data, using statistical formulas and computers or calculators.",0.9636
41-9041.00,"Explain products or services and prices, and answer questions from customers.",0.9636
41-3021.00,Seek out new clients and develop clientele by networking to find new customers and generate lists of prospective clients.,0.9633
41-2031.00,"Describe merchandise and explain use, operation, and care of merchandise to customers.",0.9632
43-3041.00,Provide customers with information about casino operations.,0.9632
15-1199.11,"Determine supplementary virtual features, such as currency, item catalog, menu design, and audio direction.",0.9631
43-9111.01,Develop or apply data mining and machine learning algorithms.,0.9628
